epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3459,4.01134,3.53691,1.9095,0.4144,0.01653,0.00865,0.00292,3.49329,3.34428,1.42391,0.00177344,0.000992188,0.000992188
2,24.2572,3.0629,2.67914,1.31941,0.0401,0.15371,0.04444,0.01585,2.84739,2.38042,1.23847,0.000977975,0.000977975,0.000977975
3,36.1353,2.69294,2.35524,1.21975,0.18592,0.10361,0.05099,0.01968,2.65934,2.24117,1.21393,0.000914058,0.000914058,0.000914058
4,48.2857,2.48205,2.16621,1.16798,0.1639,0.07764,0.0538,0.02175,2.57707,2.0598,1.1443,0.000814503,0.000814503,0.000814503
5,60.3993,2.35248,2.0435,1.13457,0.09508,0.10077,0.06345,0.02615,2.45608,2.09053,1.12491,0.000689058,0.000689058,0.000689058
6,72.2163,2.26712,1.95309,1.10896,0.3086,0.09034,0.06786,0.02866,2.4051,1.87985,1.08426,0.00055,0.00055,0.00055
7,84.0868,2.20354,1.88027,1.09043,0.16859,0.10193,0.07587,0.03614,2.17759,1.78193,1.09729,0.000410942,0.000410942,0.000410942
8,96.038,2.15241,1.8393,1.07672,0.25333,0.1074,0.07877,0.03648,2.19855,1.72218,1.07577,0.000285497,0.000285497,0.000285497
9,107.808,2.11903,1.79008,1.06668,0.27442,0.1187,0.0911,0.04213,2.14491,1.72683,1.05377,0.000185942,0.000185942,0.000185942
10,119.623,2.09273,1.75721,1.05823,0.26553,0.12156,0.08933,0.04111,2.14112,1.69699,1.05118,0.000122025,0.000122025,0.000122025
