epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7916,3.9703,3.48343,1.89472,0.51768,0.01706,0.01142,0.0034,3.47053,3.24181,1.39415,0.00177344,0.000992188,0.000992188
2,23.5147,3.05378,2.66845,1.33255,0.03366,0.13776,0.04201,0.01498,2.83225,2.49927,1.24732,0.000977975,0.000977975,0.000977975
3,35.4344,2.69798,2.36449,1.23088,0.37157,0.06813,0.04305,0.01655,2.66334,2.28699,1.24873,0.000914058,0.000914058,0.000914058
4,46.8321,2.51389,2.18814,1.18281,0.14039,0.07949,0.05994,0.02561,2.47765,2.03541,1.1455,0.000814503,0.000814503,0.000814503
5,58.0364,2.36398,2.0546,1.14428,0.27027,0.10162,0.07012,0.03003,2.29471,1.89475,1.1138,0.000689058,0.000689058,0.000689058
6,69.4391,2.27767,1.96157,1.11712,0.2615,0.09147,0.06621,0.02798,2.47075,1.9251,1.11551,0.00055,0.00055,0.00055
7,80.7606,2.21246,1.87905,1.09609,0.23907,0.11046,0.08225,0.0373,2.1623,1.75502,1.06912,0.000410942,0.000410942,0.000410942
8,92.1204,2.1584,1.84132,1.08159,0.25592,0.1177,0.08527,0.03933,2.15004,1.71162,1.07463,0.000285497,0.000285497,0.000285497
9,103.366,2.1203,1.78687,1.07054,0.15192,0.12231,0.08745,0.03898,2.18573,1.74071,1.06423,0.000185942,0.000185942,0.000185942
10,114.678,2.09153,1.75213,1.06097,0.17667,0.12662,0.09332,0.04234,2.09679,1.66592,1.05144,0.000122025,0.000122025,0.000122025
