epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1991,3.9433,3.498,1.91466,0.31753,0.02035,0.00946,0.00277,3.55779,3.23418,1.41606,0.00177344,0.000992188,0.000992188
2,24.0066,3.06181,2.68309,1.31822,0.1841,0.05267,0.03468,0.01231,2.86931,2.36969,1.32256,0.000977975,0.000977975,0.000977975
3,35.9803,2.69715,2.3639,1.21894,0.29591,0.07142,0.04829,0.01853,2.62095,2.23197,1.199,0.000914058,0.000914058,0.000914058
4,47.8707,2.50422,2.17784,1.17334,0.13742,0.07846,0.0619,0.02663,2.41774,2.01391,1.13299,0.000814503,0.000814503,0.000814503
5,59.4863,2.37647,2.05546,1.13734,0.12156,0.10199,0.0683,0.02968,2.33303,1.97177,1.10168,0.000689058,0.000689058,0.000689058
6,71.1034,2.27938,1.96189,1.10795,0.24813,0.08348,0.06595,0.02819,2.45575,1.94467,1.10461,0.00055,0.00055,0.00055
7,82.7056,2.21367,1.87882,1.09065,0.1506,0.11413,0.08212,0.03707,2.20102,1.76402,1.06998,0.000410942,0.000410942,0.000410942
8,94.3852,2.16152,1.84308,1.07517,0.15458,0.11563,0.08081,0.03777,2.1831,1.73824,1.08071,0.000285497,0.000285497,0.000285497
9,106.016,2.13248,1.79279,1.06816,0.15055,0.12372,0.08396,0.03749,2.2386,1.79218,1.0641,0.000185942,0.000185942,0.000185942
10,117.748,2.11013,1.76365,1.0587,0.15522,0.12824,0.09063,0.04154,2.14193,1.69378,1.05183,0.000122025,0.000122025,0.000122025
