epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1462,4.04956,3.56091,1.90927,0.32086,0.02158,0.01055,0.00282,3.70221,3.03615,1.40009,0.00177344,0.000992188,0.000992188
2,33.05,3.15193,2.7453,1.33111,0.03239,0.13322,0.03727,0.01326,2.93092,2.45652,1.31092,0.000977975,0.000977975,0.000977975
3,49.2667,2.78079,2.42305,1.24253,0.17455,0.09036,0.04282,0.01507,2.71605,2.32846,1.24493,0.000914058,0.000914058,0.000914058
4,65.5015,2.55988,2.24009,1.19116,0.19168,0.06781,0.05291,0.02229,2.50367,2.08066,1.14958,0.000814503,0.000814503,0.000814503
5,81.8007,2.42546,2.10466,1.15877,0.19841,0.0915,0.05989,0.02539,2.399,2.07039,1.13287,0.000689058,0.000689058,0.000689058
6,97.7993,2.31994,2.00346,1.12569,0.22111,0.08056,0.06435,0.02867,2.41384,1.94778,1.10298,0.00055,0.00055,0.00055
7,113.386,2.24877,1.92232,1.10619,0.17289,0.09655,0.07667,0.03448,2.1878,1.77913,1.09589,0.000410942,0.000410942,0.000410942
8,129.203,2.20683,1.88412,1.09455,0.14111,0.09983,0.07237,0.03329,2.22027,1.76938,1.08972,0.000285497,0.000285497,0.000285497
9,145.087,2.16534,1.83211,1.08292,0.1733,0.11586,0.08345,0.03826,2.20903,1.74819,1.06699,0.000185942,0.000185942,0.000185942
10,161.366,2.14257,1.79856,1.07389,0.15848,0.11905,0.08519,0.03871,2.16538,1.71203,1.06064,0.000122025,0.000122025,0.000122025
