epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5616,3.95127,3.45288,1.89191,0.00808,0.06847,0.00863,0.00261,3.63241,3.84695,1.40614,0.00177344,0.000992188,0.000992188
2,23.058,3.09258,2.6967,1.32908,0.02639,0.11616,0.03208,0.01203,2.83152,2.46171,1.30759,0.000977975,0.000977975,0.000977975
3,34.9142,2.7338,2.37554,1.22996,0.06173,0.13037,0.05291,0.02009,2.59437,2.32744,1.19237,0.000914058,0.000914058,0.000914058
4,46.2724,2.49245,2.17359,1.17118,0.30014,0.07902,0.05814,0.02451,2.45953,2.02409,1.15227,0.000814503,0.000814503,0.000814503
5,57.7363,2.37364,2.05271,1.13815,0.09842,0.09614,0.06275,0.02641,2.43041,2.10174,1.11132,0.000689058,0.000689058,0.000689058
6,69.0995,2.2687,1.9505,1.11092,0.15102,0.09406,0.0716,0.03212,2.27442,1.90586,1.09853,0.00055,0.00055,0.00055
7,80.3363,2.20706,1.87652,1.09094,0.24371,0.10948,0.08178,0.03692,2.18593,1.78519,1.06754,0.000410942,0.000410942,0.000410942
8,91.7064,2.1573,1.83111,1.07723,0.1603,0.11917,0.08488,0.03851,2.15875,1.70489,1.07033,0.000285497,0.000285497,0.000285497
9,103.073,2.11598,1.77766,1.06667,0.1712,0.11837,0.08383,0.03736,2.24021,1.74287,1.06526,0.000185942,0.000185942,0.000185942
10,114.438,2.09343,1.74769,1.0571,0.19608,0.12775,0.09086,0.04135,2.12392,1.66244,1.04923,0.000122025,0.000122025,0.000122025
