epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2418,4.01214,3.50922,1.87889,0.62066,0.01651,0.01071,0.00325,3.54528,3.182,1.37498,0.00177344,0.000992188,0.000992188
2,23.8292,3.116,2.70928,1.32678,0.03025,0.11213,0.03783,0.01365,2.88806,2.55106,1.29067,0.000977975,0.000977975,0.000977975
3,35.1127,2.78326,2.42206,1.24158,0.42277,0.06005,0.05036,0.01855,2.71119,2.33651,1.23112,0.000914058,0.000914058,0.000914058
4,46.3754,2.56486,2.22068,1.19184,0.10118,0.06993,0.05057,0.02075,2.54025,2.11014,1.21333,0.000814503,0.000814503,0.000814503
5,57.4976,2.40909,2.09102,1.15281,0.24979,0.09581,0.07075,0.03039,2.34987,1.94001,1.11978,0.000689058,0.000689058,0.000689058
6,68.6485,2.31898,1.99274,1.12518,0.32964,0.08392,0.06827,0.0303,2.33328,1.93635,1.09894,0.00055,0.00055,0.00055
7,79.7108,2.24737,1.91304,1.10404,0.31298,0.10627,0.08409,0.03895,2.16601,1.75947,1.09298,0.000410942,0.000410942,0.000410942
8,90.8002,2.19458,1.86254,1.09118,0.26398,0.11254,0.08204,0.03852,2.1561,1.73344,1.0745,0.000285497,0.000285497,0.000285497
9,101.919,2.15138,1.80881,1.0802,0.17406,0.11746,0.08924,0.04136,2.1524,1.71094,1.05984,0.000185942,0.000185942,0.000185942
10,113.141,2.13003,1.78019,1.07133,0.27517,0.12257,0.08999,0.04173,2.12334,1.69949,1.05624,0.000122025,0.000122025,0.000122025
