epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0596,3.90928,3.49367,1.89386,0.41848,0.02384,0.00994,0.003,3.52865,3.10691,1.39878,0.00177344,0.000992188,0.000992188
2,23.0022,3.02372,2.68029,1.31161,0.1825,0.07565,0.04517,0.01703,2.79324,2.31826,1.24108,0.000977975,0.000977975,0.000977975
3,33.8501,2.67004,2.36667,1.21576,0.40041,0.08713,0.05396,0.02027,2.61922,2.26919,1.20028,0.000914058,0.000914058,0.000914058
4,44.6451,2.48073,2.18905,1.16835,0.32359,0.07201,0.05775,0.02499,2.41059,2.08553,1.14922,0.000814503,0.000814503,0.000814503
5,55.6988,2.3662,2.06813,1.13846,0.12865,0.10077,0.06848,0.02969,2.31124,1.94384,1.10852,0.000689058,0.000689058,0.000689058
6,66.4121,2.27181,1.97603,1.11019,0.30862,0.08327,0.06928,0.03149,2.3931,1.93672,1.09954,0.00055,0.00055,0.00055
7,77.2032,2.20849,1.90101,1.09058,0.1554,0.1067,0.07884,0.0366,2.13437,1.75936,1.07749,0.000410942,0.000410942,0.000410942
8,88.0583,2.15988,1.86121,1.07839,0.14074,0.11352,0.07902,0.03667,2.16931,1.73907,1.07073,0.000285497,0.000285497,0.000285497
9,98.8176,2.12389,1.81215,1.06815,0.24632,0.1217,0.08407,0.03776,2.22157,1.80939,1.06476,0.000185942,0.000185942,0.000185942
10,109.525,2.09573,1.77791,1.05895,0.18641,0.12296,0.08699,0.03948,2.15885,1.73378,1.05566,0.000122025,0.000122025,0.000122025
