epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6065,3.93375,3.4842,1.87776,0.22254,0.04006,0.01308,0.00401,3.48319,2.9941,1.38073,0.00177344,0.000992188,0.000992188
2,22.3348,3.07385,2.6891,1.32139,0.17668,0.04889,0.03419,0.01234,2.87898,2.45037,1.31906,0.000977975,0.000977975,0.000977975
3,33.282,2.70505,2.36967,1.21979,0.18333,0.09407,0.04826,0.01825,2.61974,2.24281,1.20544,0.000914058,0.000914058,0.000914058
4,44.0715,2.50129,2.18966,1.16864,0.1979,0.0669,0.04876,0.02138,2.4685,2.08991,1.16932,0.000814503,0.000814503,0.000814503
5,54.7767,2.36871,2.0669,1.13502,0.20455,0.09104,0.05976,0.02506,2.46826,2.05825,1.10927,0.000689058,0.000689058,0.000689058
6,65.3846,2.27485,1.97101,1.10851,0.15759,0.09456,0.07079,0.03076,2.39949,1.91468,1.10013,0.00055,0.00055,0.00055
7,76.1097,2.20275,1.88996,1.08968,0.23354,0.10232,0.07601,0.0347,2.17136,1.78977,1.08526,0.000410942,0.000410942,0.000410942
8,86.9672,2.16102,1.85277,1.07681,0.15091,0.11786,0.08217,0.03825,2.16043,1.73144,1.075,0.000285497,0.000285497,0.000285497
9,97.6168,2.11689,1.7993,1.06635,0.14501,0.12128,0.08272,0.03717,2.21137,1.80936,1.06625,0.000185942,0.000185942,0.000185942
10,108.328,2.09541,1.77121,1.05716,0.15264,0.12277,0.08888,0.04075,2.14516,1.70845,1.05179,0.000122025,0.000122025,0.000122025
