epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4584,3.98007,3.50553,1.8891,0.00849,0.06902,0.00771,0.00223,3.51525,3.15857,1.4489,0.00177344,0.000992188,0.000992188
2,32.4103,3.063,2.67122,1.33229,0.66666,0.02817,0.04031,0.01484,2.81966,2.59069,1.28578,0.000977975,0.000977975,0.000977975
3,48.4755,2.69484,2.36256,1.22826,0.2945,0.06497,0.04385,0.01581,2.66042,2.43737,1.29247,0.000914058,0.000914058,0.000914058
4,64.2606,2.47519,2.16803,1.1745,0.18931,0.07901,0.05508,0.02411,2.45091,2.01631,1.1476,0.000814503,0.000814503,0.000814503
5,80.0686,2.34475,2.03557,1.14016,0.19891,0.10097,0.06501,0.02786,2.3711,2.04073,1.11798,0.000689058,0.000689058,0.000689058
6,95.5611,2.24553,1.93293,1.10959,0.13045,0.09048,0.06903,0.03161,2.28395,1.85643,1.10479,0.00055,0.00055,0.00055
7,111.041,2.18133,1.85558,1.09122,0.18737,0.10585,0.08299,0.03879,2.13049,1.71985,1.0737,0.000410942,0.000410942,0.000410942
8,126.486,2.13035,1.81424,1.07678,0.16153,0.11223,0.07969,0.03748,2.15796,1.70107,1.08893,0.000285497,0.000285497,0.000285497
9,141.713,2.09087,1.75595,1.06516,0.18064,0.12206,0.09178,0.04262,2.13345,1.67606,1.05672,0.000185942,0.000185942,0.000185942
10,157.15,2.06149,1.72423,1.05607,0.16925,0.12453,0.09189,0.04222,2.09396,1.6602,1.04985,0.000122025,0.000122025,0.000122025
