epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7568,4.00194,3.52101,1.8944,0.00801,0.05003,0.00715,0.00219,3.66946,4.16173,1.49159,0.00177344,0.000992188,0.000992188
2,33.8158,3.07333,2.68292,1.31905,0.03163,0.1534,0.04078,0.0149,2.81153,2.35836,1.26244,0.000977975,0.000977975,0.000977975
3,50.8495,2.71409,2.37962,1.22259,0.07995,0.12585,0.04916,0.01758,2.67609,2.29478,1.22316,0.000914058,0.000914058,0.000914058
4,68.2333,2.51086,2.19422,1.17408,0.10051,0.08136,0.05872,0.025,2.43459,2.06839,1.13944,0.000814503,0.000814503,0.000814503
5,84.779,2.37707,2.06572,1.14116,0.24842,0.10762,0.06744,0.0294,2.38619,2.03333,1.11053,0.000689058,0.000689058,0.000689058
6,101.689,2.27468,1.96461,1.10958,0.21393,0.09237,0.07492,0.03356,2.29666,1.89984,1.09406,0.00055,0.00055,0.00055
7,118.049,2.22077,1.89365,1.09379,0.2087,0.09944,0.07928,0.03714,2.172,1.78599,1.09431,0.000410942,0.000410942,0.000410942
8,134.771,2.1705,1.85511,1.08046,0.18173,0.11261,0.08173,0.03819,2.18064,1.73363,1.08351,0.000285497,0.000285497,0.000285497
9,151.521,2.13025,1.79648,1.06889,0.1743,0.12246,0.09106,0.04105,2.18418,1.72786,1.05992,0.000185942,0.000185942,0.000185942
10,168.526,2.10535,1.76941,1.06098,0.1673,0.1274,0.09202,0.04163,2.12942,1.68941,1.052,0.000122025,0.000122025,0.000122025
