epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7716,4.04854,3.55715,1.89019,0.41828,0.02094,0.01157,0.00362,3.42485,3.0713,1.42001,0.00177344,0.000992188,0.000992188
2,35.2427,3.1,2.70374,1.32825,0.03341,0.13134,0.04117,0.01483,2.82122,2.40825,1.27463,0.000977975,0.000977975,0.000977975
3,52.3597,2.72373,2.3854,1.23566,0.29332,0.06588,0.04978,0.01953,2.62648,2.20716,1.17865,0.000914058,0.000914058,0.000914058
4,69.7024,2.527,2.20058,1.18301,0.16182,0.07868,0.06085,0.02527,2.41986,1.99465,1.15575,0.000814503,0.000814503,0.000814503
5,87.265,2.39554,2.07399,1.15004,0.09771,0.10864,0.06282,0.02626,2.45432,2.16292,1.11569,0.000689058,0.000689058,0.000689058
6,103.94,2.29279,1.97367,1.11869,0.24987,0.08378,0.06786,0.02845,2.47169,1.97752,1.09713,0.00055,0.00055,0.00055
7,121.166,2.21988,1.89757,1.09722,0.2596,0.10359,0.08351,0.03892,2.15179,1.75344,1.08552,0.000410942,0.000410942,0.000410942
8,138.211,2.17254,1.85068,1.08439,0.16652,0.11357,0.08329,0.03879,2.16722,1.74235,1.08261,0.000285497,0.000285497,0.000285497
9,155.093,2.13094,1.80311,1.07374,0.1651,0.12091,0.08853,0.0402,2.19878,1.73743,1.06579,0.000185942,0.000185942,0.000185942
10,172.507,2.11341,1.77219,1.06576,0.17927,0.12545,0.0921,0.04204,2.13746,1.68821,1.05219,0.000122025,0.000122025,0.000122025
