variant,display_name,run_count,seeds,uncertainty,precision_percent_mean,precision_percent_std,recall_percent_mean,recall_percent_std,ap50_percent_mean,ap50_percent_std,ap50_95_percent_mean,ap50_95_percent_std,parameters_mean,parameters_std,gflops_at_imgsz_mean,gflops_at_imgsz_std,inference_ms_per_image_mean,inference_ms_per_image_std,training_seconds_mean,training_seconds_std,peak_cuda_reserved_gb_mean,peak_cuda_reserved_gb_std
baseline,Baseline,3,179;2026;3407,sample standard deviation across seeds,21.407334697503803,6.576978533045422,12.679301814382626,0.47699639293456203,9.540437117733902,0.2880613811856071,4.431334682926489,0.14932976995332403,3012798.0,0.0,5.17914624,0.0,0.27433826033860115,0.021427033557617596,154.59066939353943,27.613415514949146,5.660213248000001,0.0
ghostconv,GhostConv,3,179;2026;3407,sample standard deviation across seeds,20.425641368081994,6.102953372595618,12.08748607655314,0.16057669939564306,8.703113196609616,0.26016549819679546,3.974781109398826,0.17484510814306345,2822958.0,0.0,4.901732352,0.0,0.3166436739644676,0.0634463342735185,158.4111454486847,28.27105322319532,5.700758186666666,0.009686330173852198
pconv,PConv,3,179;2026;3407,sample standard deviation across seeds,16.39318366606341,1.9480392137535385,12.277431949386573,0.042954997817303074,8.771656846260916,0.09622250298816533,3.974289288769571,0.08718494757062756,2655038.0,0.0,4.61553664,0.0,0.2872711678854483,0.04337791234309446,152.60977133115134,25.813741688958398,5.647630336,0.0
star,Star block,3,179;2026;3407,sample standard deviation across seeds,18.844269204045272,1.0487837938958913,12.723127751835676,0.05317411853823353,9.219263886779492,0.12803200617640717,4.19982205894993,0.05624570795273556,2887934.0,0.0,5.010980864,0.0,0.26931727494017127,0.02918088847647939,143.5386016368866,0.2835849969410701,6.048186368,0.0
wtconv,WTConv,3,179;2026;3407,sample standard deviation across seeds,16.25456960758333,0.8261302872908305,12.900923835329008,0.14507148440902307,9.212169781118416,0.1461100277945317,4.191810506476456,0.056739820373661244,2715262.0,0.0,4.64838656,0.0,0.35923436739379094,0.061360911526605916,163.99680987993875,29.5292581415489,5.813305344,0.0
lsconv,LSConv,3,179;2026;3407,sample standard deviation across seeds,21.084114438320775,5.574958146865861,12.270431017932365,0.3614258347164999,9.153838752136577,0.0580429398571001,4.207509144624588,0.004892320258166482,2577750.0,0.0,4.507762688,0.0,0.5378422749418216,0.24547082631705375,184.8055579662323,31.44013180964877,5.9125705386666665,0.001210791271731653
